Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
00107020,Procurement,Purchasing Software,,,Active Contract,OpenGov,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"65,000.00",001,General Government
00107020,Procurement,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"2,000.00",001,General Government
10116001,Public Works,,,,,,,,,,555000,Training,Operating Expenditures,"5,000.00",101,Transportation
00111002,South Walton Fire,Emergency Medical Services Interlocal,,,Interlocal Agreement,South Walton Fire District,,https://www.mywaltonfl.gov/DocumentCenter/View/45232/South-Walton-Fire--State-Control-Budget,,,534000,Other Services,Operating Expenditures,"947,284.00",001,Public Safety
11141060,Marketing,,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,0.00,111,Economic Environment
11141060,Marketing,Agency Award Submission and attendance,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,"25,000.00",111,Economic Environment
11141060,Marketing,,,,,,,,,,512000,Regular Salaries & Wages,Personnel Services,"286,289.00",111,Economic Environment
11141060,Marketing,Employer payroll taxes include the County's required contributions for Social Security (FICA) and Medicare. Contributions are budgeted using federally established tax rates applicable to eligible employee compensation.,,,,,,,,,521000,FICA Taxes & Medicare,Personnel Services,"21,902.00",111,Economic Environment
11141060,Marketing,Employer retirement contribution rates are established annually by the Florida Legislature in accordance with state law and are applied based on each employee's FRS membership class.,,,,,,,,,522000,Retirement Contributions,Personnel Services,"38,997.00",111,Economic Environment
11141060,Marketing,Employer contributions for employee life and health insurance are budgeted based on the County's adopted benefit plans and applicable coverage elections.,,,,,,,,,523000,Life & Health Insurance,Personnel Services,"60,639.00",111,Economic Environment
11141000,Tourism Administration,TDC Attorney,,,Active Contract,Clay Adkinson,,https://www.mywaltonfl.gov/DocumentCenter/View/45348/Adkinson,,,531000,Professional Services,Operating Expenditures,"30,000.00",111,Economic Environment
11141060,Marketing,,,,,,,,,,540000,Travel & Per Diem,Operating Expenditures,"54,300.00",111,Economic Environment
11141060,Marketing,,,,,,,,,,542000,Freight & Postage Services,Operating Expenditures,"22,984.00",111,Economic Environment
11141060,Marketing,Media Service Fee,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,"953,350.00",111,Economic Environment
11141100,North Walton Tourist Development Tax,General Fund Cost Allocation for services provide to special revenue fund,,,,,,,,,549006,Indirect Admin Allocation,Operating Expenditures,"5,502.00",111,Economic Environment
00104000,Planning Short-Term Rental,,,,,,,,10639,Short-Term Rental,551000,Office Supplies,Operating Expenditures,"10,000.00",001,General Government
00101100,State Attorney,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"3,700.00",001,Court Related Cost
00101090,Public Defender,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"2,000.00",001,Court Related Cost
10116002,Engineering Services,,,,,,,,,,555000,Training,Operating Expenditures,"10,000.00",101,Transportation
11141060,Marketing,Tourism Event Grant Program,,,,,,,10656,Advertising Services,548000,Promotional Activities,Operating Expenditures,"642,450.00",111,Economic Environment
11141060,Marketing,"Branded Merch (Activations, In Market Events, Leisure Shows, Events), Art in Public Places, Marine Grant, SWARA, Coastal Clean up, Media/Influencer FAMS",,,,,,,,,548000,Promotional Activities,Operating Expenditures,"320,000.00",111,Economic Environment
11141070,Marketing,,,,Active Contract,"Zehnder, Inc",24-27,https://www.mywaltonfl.gov/DocumentCenter/View/45317/Contract-24-27-Zehnder,10655,Advertising Services,548000,Promotional Activities,Operating Expenditures,0.00,111,economic Environment
