Dept_Code,Dept_Name,Note,Project_Name,Revenue_Code,Revenue_Name,Revenue_Type,FY2027_Proposed,Fund_code
001381,Interfund Group Transfer In,Small County Surtax,,381000,Interfund Group Transfer In,Other Sources,"2,581,997.00",001
001329,Board of County Commissioners,Managed Beach Vendor Revenue,10647,329004,Beach Vending Permits,Permits Fees and Special Assessments,"1,530,000.00",001
001335,Board of County Commissioners,A portion of Florida’s state cigarette tax is shared with counties through the Revenue Sharing Program and may be used for general government services,,335120,State Shared Cigarette Tax,Intergovernmental Revenues,"25,000.00",001
001335,Board of County Commissioners,"The Florida Revenue Sharing Act of 1972 was a significant legislative effort to ensure a minimum level of revenue parity across local government units. An allocation formula is used to distribute 2.9 percent of net cigarette tax collections and 2.044 percent of sales and use tax collections among qualifying counties. This formula considers each county's total population, unincorporated population, and sales tax collections to determine its share",,335121,State Revenue Share Proceeds,Intergovernmental Revenues,"2,000,874.00",001
001335,Board of County Commissioners,A portion of insurance agent license tax revenues distributed by the State of Florida to counties for general government purposes.,,335130,Insurance Agents LLC,Intergovernmental Revenues,"40,000.00",001
001335,Board of County Commissioners,A portion of state-collected mobile home registration fees distributed to counties for general government purposes.,,335140,Mobile Home Licenses,Intergovernmental Revenues,"40,000.00",001
001335,Board of County Commissioners,"Florida Statute § 550.0951 imposes a racing tax on pari-mutuel wagering, with a determined portion of the revenue remitted to counties for general government services, this is split 50/50 between the general fund and the transportation fund",,335160,Racing Tax,Intergovernmental Revenues,"112,000.00",001
001335,Board of County Commissioners,"Counties and municipalities that collect vessel registration fees retain the county-designated portion, which must be used exclusively for boating-related purposes such as maintaining public boat ramps and docks, installing waterway markers, and removing derelict vessels or debris that obstruct access.",,335700,Florida Boating Improvement Program Allocation,Intergovernmental Revenues,"100,000.00",001
001336,Board of County Commissioners,"The State of Florida administers a Payment in Lieu of Taxes (PILT) program to compensate counties for the loss of property tax revenue due to state-owned, tax-exempt lands. This program is particularly relevant for lands acquired under conservation initiatives, such as those outlined in Florida Statutes § 259.032 and § 373.59. ",,336000,State Payment in Lieu of Tax,Intergovernmental Revenues,"100,000.00",001
001354,Board of County Commissioners,,,354000,Ordinance Fine (Animal Control),"Judgments, Fines and Forfeits","2,500.00",001
001361,Board of County Commissioners,,,361100,Interest,Miscellaneous Revenue,"1,750,000.00",001
001361,Board of County Commissioners,,,361105,Investments (Florida Local Government Investment Trust),Miscellaneous Revenue,"200,000.00",001
001361,Board of County Commissioners,,,361106,Investments (SBA Florida Prime),Miscellaneous Revenue,"5,000.00",001
001361,Board of County Commissioners,,,361111,Constitutional Officer Interest,Miscellaneous Revenue,"250,000.00",001
001362,Board of County Commissioners,,,362001,Office Rental,Miscellaneous Revenue,"28,200.00",001
001369,Board of County Commissioners,Funds returned to the County for payments or expenditures made in a previous fiscal year.,,369300,Refund of Prior Year Expenditures,Miscellaneous Revenue,"10,000.00",001
001369,Board of County Commissioners,,,369900,Miscellaneous Revenue,Miscellaneous Revenue,"100,000.00",001
001369,Board of County Commissioners,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"1,969,762.00",001
001389,Board of County Commissioners,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,001
001315,Geographic Info Systems,"Communications services tax (CST) revenue consists of a locally retained portion based on in-county telecommunications activity and a smaller, formula-driven share of state-collected revenues redistributed through Florida’s revenue-sharing system.",,315001,Telecommunication and Local Communication Tax,General Government Taxes,"350,000.00",001
001324,Geographic Info Systems,"Established its E911 addressing system in 2001 through Ordinance 2001-08, should be used to support GIS/GPS equipment and mapping necessary for accurate emergency response.",,324004,E-911 Plat Fee,Permits Fees and Special Assessments,"22,000.00",001
001329,Geographic Info Systems,$5 utility permit fee charged per dwelling unit by the Building Department for GIS E911 addressing,,329001,E-911 Utility Permits,Permits Fees and Special Assessments,"80,000.00",001
001335,Geographic Info Systems,,,335180,Local Government 1/2 Cent Sales Tax,Intergovernmental Revenues,"282,372.00",001
001369,Geographic Info Systems,"General Fund admin cost allocation from Tourist Development Fund, Building Fund, Mosquito Control Fund, and Solid Waste Fund",,369901,Indirect Administrative Fees,Miscellaneous Revenue,"104,774.00",001
110331,Housing & Urban Development,Federal funding provided by the U.S. Department of Housing and Urban Development (HUD) to support rental assistance for eligible low-income households and the administration of the County’s Housing Choice Voucher (Section 8) Program.,,331500,Federal Grant (Economic Environment),Intergovernmental Revenues,"3,057,056.00",110
110361,Housing & Urban Development,,,361100,Interest,Miscellaneous Revenue,0.00,110
001334,Libraries,,10029,334700,State Grant (Culture/Recreation),Intergovernmental Revenues,0.00,001
001347,Libraries,,,347100,Library Fines & Fees,Charges for Services,"18,000.00",001
001362,Libraries,,,362002,Library Rentals,Miscellaneous Revenue,"3,000.00",001
105311,Mosquito Control,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,426,937.00",105
105311,Mosquito Control,,,311001,Ad Valorem Taxes Delinquent,General Government Taxes,0.00,105
105336,Mosquito Control,"The State of Florida administers a Payment in Lieu of Taxes (PILT) program to compensate counties for the loss of property tax revenue due to state-owned, tax-exempt lands. This program is particularly relevant for lands acquired under conservation initiatives, such as those outlined in Florida Statutes § 259.032 and § 373.59. ",,336000,State Payment in Lieu of Tax,Intergovernmental Revenues,0.00,105
105361,Mosquito Control,,,361100,Interest,Miscellaneous Revenue,0.00,105
105389,Mosquito Control,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,105
106334,Mosquito Control State Aid,Mosquito Control State Aid,10630,334610,State Grant (Health),Intergovernmental Revenues,"69,588.00",106
106361,Mosquito Control State Aid,,,361100,Interest,Miscellaneous Revenue,0.00,106
106364,Mosquito Control State Aid,,,364001,Surplus Equipment Sales,Miscellaneous Revenue,0.00,106
101324,Mossy Head Wastewater Treatment Facility,,,324002,Sewer Impact Fees,Permits Fees and Special Assessments,0.00,101
101343,Mossy Head Wastewater Treatment Facility,,,343500,Sewer and Wastewater Fees,Charges for Services,"85,000.00",101
101389,Mossy Head Wastewater Treatment Facility,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,101
102343,MUNICIPAL SERVICE BENEFIT UNIT,,,343410,MSBU Fees,Charges for Services,"43,225.00",102
102361,MUNICIPAL SERVICE BENEFIT UNIT,,,361100,Interest,Miscellaneous Revenue,0.00,102
102389,MUNICIPAL SERVICE BENEFIT UNIT,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,102
102389,MUNICIPAL SERVICE BENEFIT UNIT,,,389001,Nonoperating less 5%,General Government Taxes,0.00,102
111312,Tourism North Walton,,,312170,Tourist Development Tax,General Government Taxes,"355,500.00",111
