Dept_Code,Dept_Name,Note,Project_Name,Revenue_Code,Revenue_Name,Revenue_Type,FY2027_Proposed,Fund_code
503341,Self-Insurance Fees and Charges,,,341210,Cobra Health Fees,Charges for Services,"50,000.00",503
503361,Self-Insurance Interest,,,361100,Interest,Miscellaneous Revenue,"45,000.00",503
503389,Self-Insurance Fees and Charges,,,389000,Nonoperating Balance Brought Forward,Other Sources,0.00,503
503341,Self-Insurance Fees and Charges,,,381000,Interfund Group Transfer In,Other Sources,0.00,503
001369,Statutory & Other,"Opioid Settlement Year 4 ($242,183)",10720,369900,Miscellaneous Revenue,Miscellaneous Revenue,"186,119.00",001
001369,Statutory & Other,"15% Opioid Settlement Year 4 ($68,768)",10732,369900,Miscellaneous Revenue,Miscellaneous Revenue,"68,768.00",001
001386,Clerk of Court,,,386200,Surplus Budget Clerk of Court,Other Sources,0.00,001
001386,Supervisor of Elections,,,386800,Surplus Budget Supervisor of Elections,Other Sources,0.00,001
001386,Property Appraiser,,,386900,Surplus Budget Property Appraiser,Other Sources,0.00,001
001362,Building Construction and Maintenance,,,362003,Morrison Springs Entry Fee,Miscellaneous Revenue,"65,000.00",001
001311,Interfund Group Transfer Out,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"98,004,256.00",001
101381,Public Works,Small County Surtax,,381000,Interfund Group Transfer In,Other Sources,"14,621,000.00",101
001311,Board of County Commissioners,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"4,491,053.00",001
001311,Clerk of Court,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"6,871,175.00",001
001311,Property Appraiser,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"4,954,338.00",001
001311,Supervisor of Elections,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,663,865.00",001
001311,Tax Collector,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"4,449,400.00",001
001311,South Walton Fire,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"980,074.00",001
001311,Building Construction and Maintenance,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"1,426,130.00",001
001311,Medical Examiner,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"881,930.00",001
001311,Circuit Court,"Property taxes levied on real and tangible personal property based on assessed taxable value. Ad valorem taxes are the County’s largest revenue source and provide funding for general government operations, public safety, constitutional officers, and other County services.",,311000,Ad Valorem Taxes,General Government Taxes,"111,493.00",001
